cluster,feature,category,pct_in_cluster,count
0,International plan,No,0.8836734693877552,433
0,International plan,Yes,0.11632653061224489,57
0,State,GA,0.0326530612244898,16
0,State,ID,0.0326530612244898,16
0,State,OH,0.0326530612244898,16
0,State,MN,0.02857142857142857,14
0,State,WV,0.02857142857142857,14
0,Voice mail plan,Yes,1.0,490
1,International plan,No,0.9206349206349206,348
1,International plan,Yes,0.07936507936507936,30
1,State,WV,0.037037037037037035,14
1,State,ND,0.031746031746031744,12
1,State,FL,0.0291005291005291,11
1,State,VA,0.0291005291005291,11
1,State,WY,0.0291005291005291,11
1,Voice mail plan,No,0.8492063492063492,321
1,Voice mail plan,Yes,0.15079365079365079,57
2,International plan,No,0.8953229398663697,402
2,International plan,Yes,0.10467706013363029,47
2,State,VA,0.0378619153674833,17
2,State,VT,0.0378619153674833,17
2,State,MN,0.0334075723830735,15
2,State,NH,0.0334075723830735,15
2,State,NY,0.031180400890868598,14
2,Voice mail plan,No,0.9020044543429844,405
2,Voice mail plan,Yes,0.09799554565701558,44
3,International plan,No,0.918918918918919,408
3,International plan,Yes,0.08108108108108109,36
3,State,WV,0.0472972972972973,21
3,State,AL,0.036036036036036036,16
3,State,OR,0.033783783783783786,15
3,State,TX,0.03153153153153153,14
3,State,AK,0.02702702702702703,12
3,Voice mail plan,No,0.8220720720720721,365
3,Voice mail plan,Yes,0.17792792792792791,79
4,International plan,No,0.8773148148148148,379
4,International plan,Yes,0.12268518518518519,53
4,State,CO,0.03009259259259259,13
4,State,WV,0.03009259259259259,13
4,State,WY,0.03009259259259259,13
4,State,IN,0.027777777777777776,12
4,State,KS,0.027777777777777776,12
4,Voice mail plan,No,0.9814814814814815,424
4,Voice mail plan,Yes,0.018518518518518517,8
5,International plan,No,0.9006342494714588,426
5,International plan,Yes,0.09936575052854123,47
5,State,WY,0.03382663847780127,16
5,State,NV,0.03171247357293869,15
5,State,MI,0.02959830866807611,14
5,State,MT,0.02959830866807611,14
5,State,MN,0.02748414376321353,13
5,Voice mail plan,No,0.8837209302325582,418
5,Voice mail plan,Yes,0.11627906976744186,55
